2025-08-07 03:30:09 | GameAutomationBot |     INFO | initialize:48 | Configuration loaded and validated successfully
2025-08-07 03:30:09 | GameAutomationBot |     INFO | initialize:52 | 🤖 YOLO11 model will be used: models/best.pt
2025-08-07 03:30:09 | GameAutomationBot |     INFO | _load_model:320 | ✅ YOLO11 model loaded successfully from: models\best.pt
2025-08-07 03:30:09 | GameAutomationBot |     INFO | _load_model:325 | 📋 Model classes: ['cash_pack', 'close_ad', 'daily_rewards_Question', 'daily_rewards_options', 'daily_rewards_watch_ads', 'medic_pack', 'morale_pack', 'no_ads_green', 'rest_pack', 'skip_ad', 'watch_ads_general', 'windows_button']
2025-08-07 03:30:09 | GameAutomationBot |     INFO | __init__:31 | ✅ YOLO11 detection enabled
2025-08-07 03:30:09 | GameAutomationBot |     INFO | initialize:69 | 🔍 Detection method: Traditional Image Matching
2025-08-07 03:30:09 | GameAutomationBot |     INFO | initialize:78 | Bot modules initialized successfully
2025-08-07 03:30:39 | GameAutomationBot |     INFO | launch_top_eleven:117 | 🚀 Launching Top Eleven on BlueStacks...
2025-08-07 03:30:39 | GameAutomationBot |     INFO | optimize_for_bluestacks:122 | Applied BlueStacks optimizations
2025-08-07 03:30:39 | GameAutomationBot |     INFO | _open_windows_search:67 | 🔍 Step 1: Opening Windows search...
2025-08-07 03:30:41 | GameAutomationBot |     INFO | _open_windows_search:78 | ✅ Windows search opened
2025-08-07 03:30:41 | GameAutomationBot |     INFO | _launch_bluestacks:87 | 🔍 Step 2: Launching BlueStacks...
2025-08-07 03:30:41 | GameAutomationBot |    DEBUG | key_boardtype:90 | Typing characters: ('t', 'o', 'p', ' ', 'e', 'l', 'e', 'v', 'e', 'n')
2025-08-07 03:30:43 | GameAutomationBot |     INFO | key_boardtype:115 | ✅ Successfully typed 10 character(s)/string(s)
2025-08-07 03:30:45 | GameAutomationBot |    DEBUG | key_boardtype:90 | Typing characters: ('enter',)
2025-08-07 03:30:45 | GameAutomationBot |     INFO | key_boardtype:115 | ✅ Successfully typed 1 character(s)/string(s)
2025-08-07 03:30:45 | GameAutomationBot |     INFO | _launch_bluestacks:99 | ✅ BlueStacks launch initiated
2025-08-07 03:30:45 | GameAutomationBot |     INFO | _wait_for_bluestacks_ready:109 | ⏳ Step 3: Waiting for BlueStacks to be ready...
2025-08-07 03:30:45 | GameAutomationBot |     INFO | wait_for_bluestacks_ready:185 | ⏳ Waiting for BlueStacks to be ready (timeout: 60s)...
2025-08-07 03:30:45 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:202 | 🔍 BlueStacks ready check #1
2025-08-07 03:30:45 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-08-07 03:30:47 | GameAutomationBot |     INFO | start_resource_farming:147 | 🌾 Starting YOLO-enhanced resource farming automation...
