2025-07-26 11:24:04 | GameAutomationBot |     INFO | initialize:48 | Configuration loaded and validated successfully
2025-07-26 11:24:04 | GameAutomationBot |     INFO | initialize:52 | 🤖 YOLO11 model will be used: models/best.pt
2025-07-26 11:24:04 | GameAutomationBot |     INFO | _load_model:320 | ✅ YOLO11 model loaded successfully from: models\best.pt
2025-07-26 11:24:04 | GameAutomationBot |     INFO | _load_model:325 | 📋 Model classes: ['cash_pack', 'close_ad', 'daily_rewards_Question', 'daily_rewards_options', 'daily_rewards_watch_ads', 'medic_pack', 'morale_pack', 'no_ads_green', 'rest_pack', 'skip_ad', 'watch_ads_general', 'windows_button']
2025-07-26 11:24:04 | GameAutomationBot |     INFO | __init__:30 | ✅ YOLO11 detection enabled
2025-07-26 11:24:04 | GameAutomationBot |     INFO | initialize:69 | 🔍 Detection method: YOLO11
2025-07-26 11:24:04 | GameAutomationBot |     INFO | initialize:72 | 📋 Model classes: ['cash_pack', 'close_ad', 'daily_rewards_Question', 'daily_rewards_options', 'daily_rewards_watch_ads', 'medic_pack', 'morale_pack', 'no_ads_green', 'rest_pack', 'skip_ad', 'watch_ads_general', 'windows_button']
2025-07-26 11:24:04 | GameAutomationBot |     INFO | initialize:78 | Bot modules initialized successfully
2025-07-26 11:24:04 | GameAutomationBot |     INFO | run_interactive_mode:248 | Starting YOLO-enhanced interactive mode...
2025-07-26 11:24:18 | GameAutomationBot |     INFO | start_resource_farming:147 | 🌾 Starting YOLO-enhanced resource farming automation...
2025-07-26 11:24:18 | GameAutomationBot |     INFO | start_farming:64 | 🌾 Starting YOLO-enhanced resource farming sequence...
2025-07-26 11:24:18 | GameAutomationBot |     INFO | start_farming:68 | 🔍 Step 1: Looking for rest icon using YOLO...
2025-07-26 11:24:27 | GameAutomationBot |    DEBUG | find_objects_on_screen:394 | 🎯 Found rest_pack at (2173, 171) with confidence 0.55
2025-07-26 11:24:27 | GameAutomationBot |     INFO | find_objects_on_screen:399 | 🔍 YOLO detection found 1 objects
2025-07-26 11:24:27 | GameAutomationBot |     INFO | find_best_match:426 | ✅ Best match: rest_pack (confidence: 0.55)
2025-07-26 11:24:27 | GameAutomationBot |     INFO | start_farming:81 | ✅ Step 1: Found and clicking rest icon
2025-07-26 11:24:27 | GameAutomationBot |     INFO | click_at_point:46 | ✅ Clicked at (2173, 171) using default method
2025-07-26 11:24:27 | GameAutomationBot |     INFO | start_farming:88 | ⏳ Step 2: Waiting for watch ads button to appear...
