2025-07-21 01:22:56 | GameAutomationBot |     INFO | initialize:48 | Configuration loaded and validated successfully
2025-07-21 01:22:56 | GameAutomationBot |     INFO | initialize:52 | 🤖 YOLO11 model will be used: models/best.pt
2025-07-21 01:22:56 | GameAutomationBot |     INFO | _load_model:320 | ✅ YOLO11 model loaded successfully from: models\best.pt
2025-07-21 01:22:56 | GameAutomationBot |     INFO | _load_model:325 | 📋 Model classes: ['cash_pack', 'close_ad', 'daily_rewards_Question', 'daily_rewards_options', 'daily_rewards_watch_ads', 'medic_pack', 'morale_pack', 'no_ads_green', 'rest_pack', 'skip_ad', 'watch_ads_general', 'windows_button']
2025-07-21 01:22:56 | GameAutomationBot |     INFO | __init__:30 | ✅ YOLO11 detection enabled
2025-07-21 01:22:56 | GameAutomationBot |     INFO | initialize:69 | 🔍 Detection method: YOLO11
2025-07-21 01:22:56 | GameAutomationBot |     INFO | initialize:72 | 📋 Model classes: ['cash_pack', 'close_ad', 'daily_rewards_Question', 'daily_rewards_options', 'daily_rewards_watch_ads', 'medic_pack', 'morale_pack', 'no_ads_green', 'rest_pack', 'skip_ad', 'watch_ads_general', 'windows_button']
2025-07-21 01:22:56 | GameAutomationBot |     INFO | initialize:78 | Bot modules initialized successfully
2025-07-21 01:22:56 | GameAutomationBot |     INFO | run_interactive_mode:227 | Starting YOLO-enhanced interactive mode...
2025-07-21 01:23:01 | GameAutomationBot |     INFO | launch_top_eleven:117 | 🚀 Launching Top Eleven on BlueStacks...
2025-07-21 01:23:01 | GameAutomationBot |     INFO | optimize_for_bluestacks:121 | Applied BlueStacks optimizations
2025-07-21 01:23:01 | GameAutomationBot |     INFO | _open_windows_search:66 | 🔍 Step 1: Opening Windows search...
2025-07-21 01:23:03 | GameAutomationBot |     INFO | _open_windows_search:77 | ✅ Windows search opened
2025-07-21 01:23:03 | GameAutomationBot |     INFO | _launch_bluestacks:86 | 🔍 Step 2: Launching BlueStacks...
2025-07-21 01:23:03 | GameAutomationBot |    DEBUG | key_boardtype:90 | Typing characters: ('t', 'o', 'p', ' ', 'e', 'l', 'e', 'v', 'e', 'n')
2025-07-21 01:23:05 | GameAutomationBot |     INFO | key_boardtype:115 | ✅ Successfully typed 10 character(s)/string(s)
2025-07-21 01:23:07 | GameAutomationBot |    DEBUG | key_boardtype:90 | Typing characters: ('enter',)
2025-07-21 01:23:07 | GameAutomationBot |     INFO | key_boardtype:115 | ✅ Successfully typed 1 character(s)/string(s)
2025-07-21 01:23:07 | GameAutomationBot |     INFO | _launch_bluestacks:98 | ✅ BlueStacks launch initiated
2025-07-21 01:23:07 | GameAutomationBot |     INFO | _wait_for_bluestacks_ready:108 | ⏳ Step 3: Waiting for BlueStacks to be ready...
2025-07-21 01:23:07 | GameAutomationBot |     INFO | wait_for_bluestacks_ready:184 | ⏳ Waiting for BlueStacks to be ready (timeout: 60s)...
2025-07-21 01:23:07 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:201 | 🔍 BlueStacks ready check #1
2025-07-21 01:23:07 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-07-21 01:23:11 | GameAutomationBot |    DEBUG | wait_for_bluestacks_ready:201 | 🔍 BlueStacks ready check #2
2025-07-21 01:23:11 | GameAutomationBot |    DEBUG | load_image:39 | Loaded and cached image: Assets/BlueStacks/bluestacks_window.png
2025-07-21 01:23:11 | GameAutomationBot |     INFO | signal_handler:284 | 📡 Received signal 2 - shutting down gracefully...
2025-07-21 01:23:11 | GameAutomationBot |     INFO | stop_farming:207 | 🛑 Stopping resource farming...
2025-07-21 01:23:11 | GameAutomationBot |     INFO | cleanup:276 | ✅ Cleanup completed
